Country,Product Description,Manufacturer Part Number,Customer Price,Currency,Product
Australia,Basket tray,Basket Tray,200,AUD,EIS Cage Accessories
Australia,Basket Tray | Additional Cable Exit | Vertical Drop,Basket Tray,65,AUD,EIS Cage Accessories
Australia,Fiber Tray,Fiber Tray,800,AUD,EIS Cage Accessories
Australia,Fiber Tray | Additional Cable Exit | Vertical Drop,Fiber Tray,300,AUD,EIS Cage Accessories
Brazil,Basket Tray | 12in | 300mm | Wide,Basket Tray,4466,BRL,EIS Cage Accessories
Brazil,Basket Tray | 2in | Divider Strip,Basket Tray,317,BRL,EIS Cage Accessories
Brazil,Basket Tray | 4in | 100mm | Wide,Basket Tray,4066,BRL,EIS Cage Accessories
Brazil,Basket Tray | 6in | 150mm | Wide,Basket Tray,4133,BRL,EIS Cage Accessories
Brazil,Basket Tray | 8in | 200mm | Wide,Basket Tray,4200,BRL,EIS Cage Accessories
Brazil,Basket Tray | Additional Cable Exit | Vertical Drop,Basket Tray,133,BRL,EIS Cage Accessories
Brazil,Basket Tray | Cable DropOut Kit,Basket Tray,2067,BRL,EIS Cage Accessories
Brazil,Basket Tray | RADT90 Radius Shield,Basket Tray,667,BRL,EIS Cage Accessories
Brazil,Basket Tray | Water Fall DropOut,Basket Tray,133,BRL,EIS Cage Accessories
Brazil,Copper Tray | 12in | 300mm | Wide,Copper Tray,3200,BRL,EIS Cage Accessories
Brazil,Copper Tray | 18in | 460mm | Wide,Copper Tray,3333,BRL,EIS Cage Accessories
Brazil,Fiber Tray | 12in | 300mm | Wide,Fiber Tray,7200,BRL,EIS Cage Accessories
Brazil,Fiber Tray | 4in | 100mm | Wide,Fiber Tray,4867,BRL,EIS Cage Accessories
Brazil,Fiber Tray | 6in | 150mm | Wide,Fiber Tray,6267,BRL,EIS Cage Accessories
Brazil,Fiber Tray | Additional Cable Exit | Vertical Drop | 2in | 50mm,Fiber Tray,1267,BRL,EIS Cage Accessories
Brazil,Fiber Tray | Additional Cable Exit | Vertical Drop | 4in | 100mm,Fiber Tray,2400,BRL,EIS Cage Accessories
Canada,Basket Tray | 12in | 300mm | Wide,Basket Tray,733,CAD,EIS Cage Accessories
Canada,Basket Tray | 2in | Divider Strip,Basket Tray,20,CAD,EIS Cage Accessories
Canada,Basket Tray | 4in | 100mm | Wide,Basket Tray,683,CAD,EIS Cage Accessories
Canada,Basket Tray | 6in | 150mm | Wide,Basket Tray,693,CAD,EIS Cage Accessories
Canada,Basket Tray | 8in | 200mm | Wide,Basket Tray,700,CAD,EIS Cage Accessories
Canada,Basket Tray | Additional Cable Exit | Vertical Drop,Basket Tray,33,CAD,EIS Cage Accessories
Canada,Basket Tray | Cable DropOut Kit,Basket Tray,43,CAD,EIS Cage Accessories
Canada,Basket Tray | RADT90 Radius Shield,Basket Tray,40,CAD,EIS Cage Accessories
Canada,Basket Tray | Water Fall DropOut,Basket Tray,43,CAD,EIS Cage Accessories
Canada,Copper Tray | 12in | 300mm | Wide,Copper Tray,717,CAD,EIS Cage Accessories
Canada,Copper Tray | 18in | 460mm | Wide,Copper Tray,767,CAD,EIS Cage Accessories
Canada,Fiber Tray | 12in | 300mm | Wide,Fiber Tray,993,CAD,EIS Cage Accessories
Canada,Fiber Tray | 4in | 100mm | Wide,Fiber Tray,780,CAD,EIS Cage Accessories
Canada,Fiber Tray | 6in | 150mm | Wide,Fiber Tray,893,CAD,EIS Cage Accessories
Canada,Fiber Tray | Additional Cable Exit | Vertical Drop | 2in | 50mm,Fiber Tray,113,CAD,EIS Cage Accessories
Canada,Fiber Tray | Additional Cable Exit | Vertical Drop | 4in | 100mm,Fiber Tray,193,CAD,EIS Cage Accessories
Chile,Basket Tray | 12in | 300mm | Wide,Basket Tray,17,CLF,EIS Cage Accessories
Chile,Basket Tray | 2in | Divider Strip,Basket Tray,1,CLF,EIS Cage Accessories
Chile,Basket Tray | 4in | 100mm | Wide,Basket Tray,15,CLF,EIS Cage Accessories
Chile,Basket Tray | 6in | 150mm | Wide,Basket Tray,16,CLF,EIS Cage Accessories
Chile,Basket Tray | 8in | 200mm | Wide,Basket Tray,16,CLF,EIS Cage Accessories
Chile,Basket Tray | Additional Cable Exit | Vertical Drop,Basket Tray,1,CLF,EIS Cage Accessories
Chile,Basket Tray | Cable DropOut Kit,Basket Tray,1,CLF,EIS Cage Accessories
Chile,Basket Tray | RADT90 Radius Shield,Basket Tray,1,CLF,EIS Cage Accessories
Chile,Basket Tray | Water Fall DropOut,Basket Tray,1,CLF,EIS Cage Accessories
Chile,Copper Tray | 12in | 300mm | Wide,Copper Tray,15,CLF,EIS Cage Accessories
Chile,Copper Tray | 18in | 460mm | Wide,Copper Tray,15,CLF,EIS Cage Accessories
Chile,Fiber Tray | 12in | 300mm | Wide,Fiber Tray,23,CLF,EIS Cage Accessories
Chile,Fiber Tray | 4in | 100mm | Wide,Fiber Tray,18,CLF,EIS Cage Accessories
Chile,Fiber Tray | 6in | 150mm | Wide,Fiber Tray,20,CLF,EIS Cage Accessories
Chile,Fiber Tray | Additional Cable Exit | Vertical Drop | 2in | 50mm,Fiber Tray,3,CLF,EIS Cage Accessories
Chile,Fiber Tray | Additional Cable Exit | Vertical Drop | 4in | 100mm,Fiber Tray,5,CLF,EIS Cage Accessories
China,Basket Tray | 8in | 200mm | Wide,Basket Tray,2007,CNY,EIS Cage Accessories
